;valid_species_name;dec_long;dec_lat
407;Atta.sexdens;-42.770.316;-22.453.521
408;Atta.sexdens;-51.342.499;-27.919.167
409;Atta.sexdens;-48.030.278;-15.830.833
410;Atta.sexdens;-54.444.829;-2.568.661
411;Atta.sexdens;-47.789.367;-15.640.479
412;Atta.sexdens;-59.987.213;-3.102.314
413;Atta.sexdens;-47.338.344;-22.855.181
414;Atta.sexdens;-45.596.489;-19.460.771
415;Atta.sexdens;-71.009.778;0.014083
416;Atta.sexdens;-4.782.375;-13.645.092
417;Atta.sexdens;-47.832.302;-13.636.983
418;Atta.sexdens;-5.998.676;-3.097.354
419;Atta.sexdens;-47.778.462;-15.843.625
420;Atta.sexdens;-4.049.575;-12.051.439
421;Atta.sexdens;-51.837;3.934.998
422;Atta.sexdens;-52.325.017;4.943.628
423;Atta.sexdens;-35.297.938;-8.128.607
424;Atta.sexdens;-60.004.722;-3.080.618
425;Atta.sexdens;-5.368.945;-210.688
426;Atta.sexdens;-47.049.063;-21.078.746
427;Atta.sexdens;-57.432.597;-17.655.786
428;Atta.sexdens;-692.179;-125.984
429;Atta.sexdens;-555.939;-27.284
430;Atta.sexdens;-54.481;-25.689
431;Atta.sexdens;-54.48;-25.69
432;Atta.sexdens;-54.479.668;-25.690.022
433;Atta.sexdens;-55.574;-27.282
434;Atta.sexdens;-43.435.692;-22.603.522
435;Atta.sexdens;-432.323;-197.501
436;Atta.sexdens;-5.994.368;-291.293
437;Atta.sexdens;-464.825;-16.754.444
438;Atta.sexdens;-4.657.139;-188.625
439;Atta.sexdens;-4.285.153;-20.805.027
440;Atta.sexdens;-5.818.445;415.215
441;Atta.sexdens;-43.643.238;-19.770.119
442;Atta.sexdens;-69.369.713;-12.854.283
443;Atta.sexdens;-557.938;-95.463
444;Atta.sexdens;-61.447;-11.438
445;Atta.sexdens;-64.23;-9.25
446;Atta.sexdens;-64.3;-9.09
447;Atta.sexdens;-64.23;-9.22
448;Atta.sexdens;-64.3;-85.028
449;Atta.sexdens;-55.732;-31.248
450;Atta.sexdens;-44.442.245;-20.952.692
451;Atta.sexdens;-44.347.805;-21.000.202
452;Atta.sexdens;-41.089.465;-13.942.829
453;Atta.sexdens;-42.847.195;-20.798.471
454;Atta.sexdens;-42.847.557;-20.798.445
455;Atta.sexdens;-4.284.811;-20.798.445
456;Atta.sexdens;-42.848.305;-20.798.805
457;Atta.sexdens;-4.284.711;-20.798.584
458;Atta.sexdens;-4.284.778;-2.079.861
459;Atta.sexdens;-4.284.728;-20.798.584
460;Atta.sexdens;-42.846.806;-20.798.555
461;Atta.sexdens;-42.847;-2.079.925
462;Atta.sexdens;-4.284.722;-2.079.925
463;Atta.sexdens;-42.848.278;-20.798.916
464;Atta.sexdens;-42.846.943;-2.079.889
465;Atta.sexdens;-42.847.057;-20.799.166
466;Atta.sexdens;-42.847.694;-20.799.028
467;Atta.sexdens;-42.847.057;-20.798.916
468;Atta.sexdens;-40.654.816;-20.746.422
469;Atta.sexdens;-69.361.946;-12.855.833
470;Atta.sexdens;-43.449.722;-20.230.556
471;Atta.sexdens;-45.794.981;-2.298.926
472;Atta.sexdens;-54.455.302;-25.683.049
473;Atta.sexdens;-526.419;-270.975
474;Atta.sexdens;-56.694;-21.187
475;Atta.sexdens;-530.788;-263.941
476;Atta.sexdens;-531.627;-270.684
477;Atta.sexdens;-6.450.186;-9.151.769
478;Atta.sexdens;-60.640.034;2.870.054
479;Atta.sexdens;-52.989;-268.483
480;Atta.sexdens;-523.108;-271.491
481;Atta.sexdens;-50.140.383;-1.593.397
482;Atta.sexdens;-54.17;-25.68
483;Atta.sexdens;-5.445.361;-2.567.895
484;Atta.sexdens;-54.45;-25.68
485;Atta.sexdens;-44.600.515;-22.671.044
486;Atta.sexdens;-40.676.034;-20.411.351
487;Atta.sexdens;-42.868.057;-20.758.612
488;Atta.sexdens;-7.447.517;9.239
489;Atta.sexdens;-7.446.656;925.328
490;Atta.sexdens;-43.273.859;-22.949.067
491;Atta.sexdens;-40.308.863;-19.183.423
492;Atta.sexdens;-7.433.333;92.667
493;Atta.sexdens;-7.435.216;926.576
494;Atta.sexdens;-7.434.873;92.678
495;Atta.sexdens;-74.030.012;5.026.003
496;Atta.sexdens;-61.025.196;1.463.657
497;Atta.sexdens;-61.464.714;3.382.414
498;Atta.sexdens;-4.787.674;-1.594.356
499;Atta.sexdens;-46.395.348;-23.373.217
500;Atta.sexdens;-42.872.223;-20.772.861
501;Atta.sexdens;-463.152;-238.727
502;Atta.sexdens;-59.94;-2.964
503;Atta.sexdens;-55.316.944;-123.005
504;Atta.sexdens;-42.850.224;-20.812.723
505;Atta.sexdens;-736.175;3.659.194
506;Atta.sexdens;-48.523.986;-22.306.677
507;Atta.sexdens;-53.817.784;-25.460.508
508;Atta.sexdens;-67.622;-10.069
509;Atta.sexdens;-69.923.256;-4.141.667
510;Atta.sexdens;-5.706.048;-2.672.202
511;Atta.sexdens;-70.25;-3.683.333
512;Atta.sexdens;-73.933.333;3.35
513;Atta.sexdens;-467.418;-862.419
514;Atta.sexdens;-4.670.783;-857.211
515;Atta.sexdens;-4.414.235;-23.157.858
516;Atta.sexdens;-44.142.351;-23.157.858
517;Atta.sexdens;-56.78;-19.18
518;Atta.sexdens;-54.392;-25.719
519;Atta.sexdens;-54.39;-25.72
520;Atta.sexdens;-55.529.161;-24.128.228
521;Atta.sexdens;-5.738.333;-25.3
522;Atta.sexdens;-57.386;-25.313
523;Atta.sexdens;-57.083.332;-25.366.667
524;Atta.sexdens;-70.263.031;-3.820.258
525;Atta.sexdens;-473.041;-212.752
526;Atta.sexdens;-55.75;-154.333
527;Atta.sexdens;-67.591.125;1.023.535
528;Atta.sexdens;-71.555.672;-137.316
529;Atta.sexdens;-7.766.866;-103.566
530;Atta.sexdens;-54.874.893;-2.219.872
531;Atta.sexdens;-55.380.096;-22.076.836
532;Atta.sexdens;-5.538.706;-22.795.357
533;Atta.sexdens;-54.526.836;-21.782.534
534;Atta.sexdens;-5.480.258;-20.484.938
535;Atta.sexdens;-55.698.532;-22.307.459
536;Atta.sexdens;-55.387.058;-22.795.357
537;Atta.sexdens;-5.480.258;-20.484.937
538;Atta.sexdens;-55.698.534;-22.307.459
539;Atta.sexdens;-55.380.097;-22.076.836
540;Atta.sexdens;-54.526.835;-21.782.533
541;Atta.sexdens;-61.908.646;5.595.308
542;Atta.sexdens;-61.908.647;5.595.308
543;Atta.sexdens;-72.961.001;3.356.402
544;Atta.sexdens;-59.75;3
545;Atta.sexdens;-5.933.333;3.75
546;Atta.sexdens;-4.288.128;-20.760.983
547;Atta.sexdens;-7.370.739;3.549.333
548;Atta.sexdens;-7.362.081;4.126.079
549;Atta.sexdens;-7.296.224;4.085.285
550;Atta.sexdens;-73.707.388;3.549.333
551;Atta.sexdens;-73.620.809;4.126.079
552;Atta.sexdens;-47.648.889;-22.725
553;Atta.sexdens;-4.661.667;-2.353.333
554;Atta.sexdens;-60.095.215;-1.955.187
555;Atta.sexdens;-510.407;-23.057
556;Atta.sexdens;-52.383;-27.183
557;Atta.sexdens;-3.487.738;-8.047.074
558;Atta.sexdens;-34.877.379;-8.047.074
559;Atta.sexdens;-75.083.336;3.833.333
560;Atta.sexdens;-7.363.333;4.15
561;Atta.sexdens;-635.285;808.777
562;Atta.sexdens;-606.934;-329.589
563;Atta.sexdens;-4.663.333;-2.353.333
564;Atta.sexdens;-58.693.626;-2.705.849
565;Atta.sexdens;-8.078.213;8.537.981
566;Atta.sexdens;-80.782.127;8.537.981
567;Atta.sexdens;-66;743.389
568;Atta.sexdens;-439.032;-194.905
569;Atta.sexdens;-4.742.517;-3.222.055
570;Atta.sexdens;-41.09;-3.56
571;Atta.sexdens;-370.717;-109.111
572;Atta.sexdens;-354.333;-56.333
